problem,f_opt,algorithm,best_mean,best_std,gap,vs_random,verdict
Branin,None,random_search,1.7370445898435956,0.8128582327478643,None,0.0,baseline
Branin,None,single_task_gp,0.4093555686508867,0.007124170879427682,None,1.3276890211927088,beats random
Branin,None,standard_gp,0.4003234811910801,0.0017269454316383704,None,1.3367211086525155,beats random
Branin,None,vanilla_highdim_bo,0.40059348298693226,0.0016012176082348993,None,1.3364511068566634,beats random
Branin,None,turbo,0.40348904839919797,0.0036679582640932007,None,1.3335555414443976,beats random
Sellar,3.18339,random_search,12.328450736540612,1.0922953085060685,9.14506073654061,0.0,baseline
Sellar,3.18339,constrained_ei,3.1951640588300374,0.010348124124091423,0.011774058830037237,9.133286677710574,converges
Sellar,3.18339,scbo,3.306440060733847,0.07286960927948673,0.12305006073384694,9.022010675806765,converges
Allison,0.5698,random_search,0.9495426991635135,0.14407569266957052,0.37974269916351355,0.0,baseline
Allison,0.5698,single_task_gp,0.6044781099404917,0.03500877533302592,0.0346781099404917,0.34506458922302186,beats random
Allison,0.5698,standard_gp,0.5993388181785377,0.03024080952901853,0.029538818178537762,0.3502038809849758,beats random
Allison,0.5698,vanilla_highdim_bo,0.641397656225486,0.06351914926653768,0.07159765622548597,0.3081450429380276,beats random
Allison,0.5698,turbo,0.6275810158540968,0.04461616001367129,0.057781015854096784,0.32196168330941677,beats random
MiniAeroWing,242.27,random_search,269.53524774745705,12.894770427436542,27.26524774745704,0.0,baseline
MiniAeroWing,242.27,single_task_gp,262.12850392209447,8.211614600889765,19.858503922094457,7.406743825362582,beats random
MiniAeroWing,242.27,standard_gp,264.74969250534446,8.942449767765234,22.479692505344445,4.7855552421125935,beats random
MiniAeroWing,242.27,vanilla_highdim_bo,271.8708623200532,12.952816377906064,29.60086232005321,-2.335614572596171,no better than random
MiniAeroWing,242.27,turbo,244.9462282826862,1.9404892432918945,2.6762282826861963,24.589019464770843,converges
PEARL,585.3,random_search,inf,0.0,None,None,no feasible found
PEARL,585.3,constrained_ei,8040.137234159351,0.0,7454.83723415935,None,no better than random
PEARL,585.3,scbo,inf,0.0,None,None,no feasible found
PressureVessel,None,random_search,770282.1875,0.0,None,0.0,baseline
PressureVessel,None,constrained_ei,770282.1875,0.0,None,0.0,no better than random
PressureVessel,None,scbo,770282.1875,0.0,None,0.0,no better than random
